,group_id,graph_id,op_id,order,dispatch
0,group0,83,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Conv2d_7b_1x1/Relu,0.0,maca
1,group0,83,InceptionResnetV2/InceptionResnetV2/Conv2d_7b_1x1/Relu,1.0,maca
2,group0,83,InceptionResnetV2/Logits/AvgPool_1a_8x8/AvgPool,2.0,cv_dsp0
3,group0,83,InceptionResnetV2/Logits/Logits/BiasAdd,3.0,cv_dsp0
4,group0,82,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_0/Conv2d_1x1/Relu,0.0,maca
5,group0,82,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0a_1x1/Relu,1.0,maca
6,group0,82,InceptionResnetV2/InceptionResnetV2/Block8/Branch_0/Conv2d_1x1/Relu,2.0,maca
7,group0,82,InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0a_1x1/Relu,3.0,maca
8,group0,82,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0b_1x3/Relu,4.0,maca
9,group0,82,InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0b_1x3/Relu,5.0,maca
10,group0,82,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0c_3x1/Relu,6.0,maca
11,group0,82,InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0c_3x1/Relu,7.0,maca
12,group0,82,InceptionResnetV2/InceptionResnetV2/Block8/concat,8.0,maca
13,group0,82,InceptionResnetV2/InceptionResnetV2/Block8/Conv2d_1x1/BiasAdd,9.0,maca
14,group0,82,InceptionResnetV2/InceptionResnetV2/Block8/add,10.0,cv_dsp0
15,group0,81,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Relu,0.0,maca
16,group0,80,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_0/Conv2d_1x1/Relu,1.0,maca
17,group0,80,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0a_1x1/Relu,0.0,maca
18,group0,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_0/Conv2d_1x1/Relu,3.0,maca
19,group0,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0a_1x1/Relu,2.0,maca
20,group0,80,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0b_1x3/Relu,4.0,maca
21,group0,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0b_1x3/Relu,5.0,maca
22,group0,80,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0c_3x1/Relu,6.0,maca
23,group0,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0c_3x1/Relu,7.0,maca
24,group0,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/concat,8.0,maca
25,group0,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/mul,9.0,maca
26,group0,80,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Relu,10.0,cv_dsp0
27,group0,79,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Relu,0.0,maca
28,group0,78,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_0/Conv2d_1x1/Relu,0.0,maca
29,group0,78,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0a_1x1/Relu,1.0,maca
30,group0,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_0/Conv2d_1x1/Relu,2.0,maca
31,group0,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0a_1x1/Relu,3.0,maca
32,group0,78,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0b_1x3/Relu,4.0,maca
33,group0,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0b_1x3/Relu,5.0,maca
34,group0,78,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0c_3x1/Relu,6.0,maca
35,group0,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0c_3x1/Relu,7.0,maca
36,group0,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/concat,8.0,maca
37,group0,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/mul,9.0,maca
38,group0,78,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Relu,10.0,cv_dsp0
39,group0,77,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Relu,0.0,maca
40,group0,76,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_0/Conv2d_1x1/Relu,0.0,maca
41,group0,76,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0a_1x1/Relu,1.0,maca
